ID,tbv
6250,10.821
6256,11.06565
6287,12.79822
6306,15.30629
6316,10.86164
6330,17.67474
6359,24.09986
6360,20.16146
6366,17.93907
6397,8.336079
6403,1.04384
6429,7.104998
6445,2.770845
6451,28.21799
6465,16.96534
6528,24.27748
6541,14.96454
6542,10.33135
6581,9.000626
6583,13.15034
6635,5.339516
6639,12.14387
6685,20.36831
6710,12.20006
6757,16.15841
6759,12.557
6766,18.90982
6807,8.100696
6845,7.011055
6895,14.47928
6898,12.21309
6904,9.101816
6919,8.978557
6928,16.07869
6929,6.625137
6951,8.481422
6957,10.41275
6959,17.45905
6960,17.95996
6963,17.19698
6972,21.7137
6979,17.60715
6987,10.62577
6990,4.679543
7000,15.82897
7048,13.91016
7069,11.0123
7081,12.24674
7093,10.97356
7094,16.17185
7110,13.83941
7114,24.26863
7153,18.61847
7167,21.46151
7197,21.38314
7221,11.99719
7302,12.7726
7314,17.78973
7322,19.59179
7338,14.86153
7366,17.64884
7383,22.20504
7388,13.09995
7402,15.51778
7408,10.82559
7413,12.29036
7462,11.06685
7507,10.01412
7529,18.3732
7541,13.12597
7568,8.188904
7590,21.51267
7604,15.66432
7642,8.079471
7646,16.76834
7652,11.69007
7669,17.17879
7674,3.824709
7697,10.69073
7702,20.75104
7777,19.83492
7858,17.64103
7876,13.53668
7881,18.41434
7890,18.01129
7891,14.23697
7903,21.68206
7932,17.57056
7976,7.212013
8013,14.92677
8028,9.964558
8029,15.10951
8037,6.466642
8048,13.42937
8052,17.01257
8053,18.07652
8056,22.53287
8059,18.35169
8077,17.47337
8097,17.41317
8098,19.83401
8099,16.58574
8102,20.46867
8168,12.30903
8176,22.80773
8215,15.44373
8267,19.48251
8273,15.37329
8303,14.74379
8334,13.93029
8347,13.51376
8379,11.42894
8396,18.70895
8412,8.862205
8436,14.2165
8466,18.20003
8468,15.75701
8472,25.23822
8474,16.76774
8486,17.61553
8498,17.89822
8509,10.94539
8531,22.28089
8538,12.60103
8574,11.19126
8590,14.59392
8612,15.06194
8613,11.10387
8624,20.17269
8627,11.15585
8634,16.79036
8674,20.28479
8704,9.409504
8718,9.52386
8725,13.19028
8726,17.03563
8741,26.02728
8742,11.79069
8770,10.93946
8815,21.346
8829,23.32986
8845,15.96928
8871,10.13663
8891,21.24831
8901,10.78533
