ID,y
10628,17.52965
10644,21.16536
10645,15.71038
10654,26.92455
10659,7.478526
10666,9.139764
10677,10.82656
10678,2.172493
10713,26.50381
10723,16.66935
10725,5.61664
10738,16.89812
10768,10.27033
10798,12.32307
10799,16.89721
10809,16.57972
10810,17.17818
10847,9.27741
10852,19.21022
10908,30.75644
10909,16.90418
10922,15.64733
10948,36.1446
10954,22.10413
10978,14.97989
11040,12.4551
11051,25.61979
11069,17.61801
11091,21.51767
11096,3.482344
11120,21.8496
11194,22.08081
11214,26.31206
11222,28.02557
11239,18.22698
11273,29.91457
11274,26.41071
11283,9.071142
11353,18.62164
11371,6.97211
11383,24.52573
11416,19.75126
11431,15.14348
11453,17.87454
11478,35.33972
11486,20.23895
11526,22.50907
11528,24.95342
11543,28.99022
11562,13.55849
11587,26.45204
11588,27.49275
11590,19.43226
11632,17.59862
11635,16.22125
11638,20.39925
11646,24.20909
11687,21.56098
11720,30.87813
11727,17.40009
11738,12.46152
11769,22.82695
11778,26.03878
11779,25.92424
11780,11.33982
11797,23.21031
11809,27.94719
11853,20.83764
11877,13.37823
11883,21.08064
11916,13.54826
11917,21.59428
11924,21.24472
11932,18.82781
11946,23.23317
11953,31.6828
11957,22.05065
12062,21.41829
12106,12.4575
12112,27.44871
12129,15.97097
12154,25.83513
12156,17.81114
12183,22.74863
12192,20.79705
12213,24.91763
12227,25.41831
12246,23.43444
12268,20.4947
12296,26.53414
12320,30.55468
12322,22.5501
12336,28.85207
12387,21.80709
12426,26.2771
12429,17.19121
12433,15.03606
12456,28.41982
12514,23.13935
12523,17.61441
12548,13.2692
12563,19.32806
12587,19.75719
12610,31.21768
12614,19.40324
12625,29.37913
12642,10.40195
12674,3.947473
12677,19.20713
12701,21.79975
12710,22.70101
12714,18.84129
12724,24.01725
12730,13.25606
12743,23.31433
12749,10.52902
12771,20.03001
12785,22.1095
12798,19.27561
12818,25.2405
12823,11.56143
12828,16.9774
12829,10.2345
12867,17.76659
12899,14.17226
12964,17.18087
12966,25.67837
13051,23.68545
13061,19.99231
13066,22.80131
13118,27.26744
13133,27.10878
13153,18.66621
13180,26.73463
13182,34.62911
13235,21.2344
13239,11.64588
13281,21.20846
13287,23.75688
13299,14.84676
13323,24.35752
13371,26.69824
13374,22.13246
13388,21.21317
13395,22.17335
13406,13.0933
13436,28.43229
13441,30.78865
13442,29.82717
13449,31.63377
13474,19.35712
13481,21.51512
13486,38.73389
13566,29.08791
13586,23.53778
13602,23.91857
13621,23.72979
13636,23.30936
13652,21.72856
13670,33.04054
13687,9.018935
13691,20.26
13704,31.55078
13734,16.41303
13752,13.80624
13761,23.60919
13767,30.54582
13772,30.60806
13878,37.34366
13879,14.76177
13919,28.38103
13936,28.69583
13960,23.30909
13968,28.67363
13970,24.32819
13980,20.81074
14043,22.05555
14049,41.59261
14053,20.24544
14054,30.98532
14059,13.33596
14106,26.49267
14115,17.10512
14152,12.18074
14159,22.21343
14161,26.94815
14183,9.626333
14205,18.80462
14212,29.01619
14217,21.32712
14263,15.5638
14326,24.70552
14377,28.09155
14402,29.54563
14461,23.27985
14473,12.9569
14482,29.95277
14483,43.21826
14491,18.44617
14496,21.50538
14533,17.79507
14536,21.22355
14539,32.20509
14592,26.28105
14618,37.13746
14627,38.18499
14633,32.24707
14641,7.759215
14670,12.73228
14699,20.53791
14701,20.36342
14704,21.77597
14725,20.17088
14800,29.8487
14807,30.93436
14825,31.80118
14853,20.74276
14878,22.27027
14889,30.96373
14893,21.80015
14902,18.91938
14911,37.53167
14932,23.46369
14966,28.35183
15027,22.99614
15029,20.21573
15052,19.71303
15077,15.5574
15079,17.39286
15081,25.22356
15116,38.96477
15123,31.34452
15131,27.9513
15166,17.92115
15213,31.01521
15217,20.07357
15218,27.37244
15226,32.28653
15241,29.11982
15251,24.1406
15255,26.87885
15327,22.72739
15374,22.79476
15419,20.47184
15423,22.49719
15442,24.81174
15469,37.26517
15474,37.29653
15477,28.48511
15483,24.50944
15490,24.34406
15502,10.19221
15504,23.99518
15519,25.01398
15532,30.2886
15535,15.51937
15536,17.85442
15539,37.35211
15561,31.61951
15604,28.59458
15624,25.37564
15636,21.66619
15679,37.57791
15692,33.7351
15700,32.40462
15707,33.75754
15709,22.91856
15714,20.99314
15747,18.82864
15791,34.76528
15797,28.25085
15838,14.42639
15841,36.39286
15842,32.72176
15876,21.74063
15891,19.29654
15910,25.39183
16004,22.08735
16009,19.75635
16018,35.16115
16037,27.40031
16057,32.65259
16083,17.1301
16092,38.96242
16112,31.17366
16130,35.43525
16149,26.57581
16153,25.47765
16154,18.39216
16165,25.56167
16169,30.44344
16176,28.34593
16195,37.23031
16240,28.20622
16247,21.05862
16268,23.89358
16295,39.7177
16322,27.83311
16338,25.16729
16373,26.79363
16383,25.97291
16403,33.68244
16460,18.53266
16470,16.76688
16497,27.97456
16549,31.42333
16597,28.72316
16598,50.94339
16635,30.68554
16668,24.42713
16694,37.13615
16710,29.25338
16728,16.90339
16773,32.4293
16790,24.86498
16815,23.16072
16833,33.55963
16859,46.02278
16879,34.02763
16890,31.94776
16928,17.72978
16932,29.92434
16981,28.74654
16995,23.92976
17026,35.91586
17038,40.19517
17053,17.01783
17054,40.17237
17064,15.61281
17077,25.81362
17103,36.93751
17110,35.1919
17124,16.31442
17126,28.33579
17153,51.43403
17169,31.35847
17280,24.26437
17283,23.47825
17293,28.68418
17296,31.92973
17315,32.14691
17352,30.96559
17358,40.25918
17359,26.6741
17371,21.33798
17422,29.63606
17460,24.93921
17501,23.05238
17502,21.49741
17530,26.57924
17531,30.6971
17587,20.46917
17605,37.29033
17612,28.67409
17635,24.4016
17658,29.64768
17672,40.32096
17687,31.56338
17696,38.87913
17708,36.13399
17788,37.5549
17830,24.93263
17848,13.47658
17874,31.42155
17878,32.88542
17894,35.65222
